instant,dateday,season,year,month,holiday,day_of_week,workingday,weather_situation,temp,atemp,humidity,casual,registered,count,humidity_category
1,2011-01-01,Spring,2011,Jan,0,Sat,0,Misty,0.344167,0.363625,8058.330000000001,331,654,985,Terlalu Lembab
2,2011-01-02,Spring,2011,Jan,0,Sun,0,Misty,0.363478,0.353739,6960.87,131,670,801,Terlalu Lembab
3,2011-01-03,Spring,2011,Jan,0,Mon,1,Clear,0.196364,0.189405,4372.73,120,1229,1349,Terlalu Lembab
4,2011-01-04,Spring,2011,Jan,0,Tue,1,Clear,0.2,0.212122,5904.35,108,1454,1562,Terlalu Lembab
5,2011-01-05,Spring,2011,Jan,0,Wed,1,Clear,0.226957,0.22927,4369.57,82,1518,1600,Terlalu Lembab
6,2011-01-06,Spring,2011,Jan,0,Thu,1,Clear,0.204348,0.233209,5182.61,88,1518,1606,Terlalu Lembab
7,2011-01-07,Spring,2011,Jan,0,Fri,1,Misty,0.196522,0.208839,4986.96,148,1362,1510,Terlalu Lembab
8,2011-01-08,Spring,2011,Jan,0,Sat,0,Misty,0.165,0.162254,5358.33,68,891,959,Terlalu Lembab
9,2011-01-09,Spring,2011,Jan,0,Sun,0,Clear,0.138333,0.116175,4341.670000000001,54,768,822,Terlalu Lembab
10,2011-01-10,Spring,2011,Jan,0,Mon,1,Clear,0.150833,0.150888,4829.17,41,1280,1321,Terlalu Lembab
11,2011-01-11,Spring,2011,Jan,0,Tue,1,Misty,0.169091,0.191464,6863.639999999999,43,1220,1263,Terlalu Lembab
12,2011-01-12,Spring,2011,Jan,0,Wed,1,Clear,0.172727,0.160473,5995.45,25,1137,1162,Terlalu Lembab
13,2011-01-13,Spring,2011,Jan,0,Thu,1,Clear,0.165,0.150883,4704.17,38,1368,1406,Terlalu Lembab
14,2011-01-14,Spring,2011,Jan,0,Fri,1,Clear,0.16087,0.188413,5378.26,54,1367,1421,Terlalu Lembab
15,2011-01-15,Spring,2011,Jan,0,Sat,0,Misty,0.233333,0.248112,4987.5,222,1026,1248,Terlalu Lembab
16,2011-01-16,Spring,2011,Jan,0,Sun,0,Clear,0.231667,0.234217,4837.5,251,953,1204,Terlalu Lembab
17,2011-01-17,Spring,2011,Jan,1,Mon,0,Misty,0.175833,0.176771,5375.0,117,883,1000,Terlalu Lembab
18,2011-01-18,Spring,2011,Jan,0,Tue,1,Misty,0.216667,0.232333,8616.669999999998,9,674,683,Terlalu Lembab
19,2011-01-19,Spring,2011,Jan,0,Wed,1,Misty,0.292174,0.298422,7417.39,78,1572,1650,Terlalu Lembab
